id,quality
1001,5.5
1002,5.17
1003,5.4
1004,5.34
1005,4.91
1006,5.2
1007,5.18
1008,5.47
1009,5.51
1010,5.11
1011,5.61
1012,5.15
1013,4.96
1014,5.84
1015,5.63
1016,5.08
1017,5.89
1018,5.26
1019,5.34
1020,5.39
1021,5.31
1022,5.73
1023,5.68
1024,5.47
1025,5.19
1026,5.0
1027,5.08
1028,5.23
1029,5.6
1030,4.8
1031,5.4
1032,5.24
1033,5.21
1034,5.57
1035,5.55
1036,5.67
1037,5.33
1038,5.41
1039,5.15
1040,5.12
1041,5.09
1042,5.75
1043,4.94
1044,5.11
1045,5.09
1046,5.73
1047,6.05
1048,6.05
1049,5.15
1050,5.41
1051,5.21
1052,5.04
1053,6.11
1054,6.11
1055,5.08
1056,5.16
1057,5.42
1058,5.27
1059,5.27
1060,5.72
1061,5.4
1062,5.52
1063,5.3
1064,5.15
1065,5.2
1066,5.87
1067,5.91
1068,5.1
1069,5.51
1070,5.14
1071,5.25
1072,5.31
1073,5.24
1074,5.15
1075,5.13
1076,6.06
1077,5.99
1078,6.42
1079,5.68
1080,5.25
1081,5.25
1082,5.24
1083,5.62
1084,5.34
1085,5.1
1086,5.45
1087,5.11
1088,5.85
1089,5.05
1090,5.38
1091,6.18
1092,5.5
1093,5.47
1094,5.68
1095,6.67
1096,5.89
1097,5.16
1098,5.71
1099,5.84
1100,5.11
1101,5.84
1102,5.92
1103,5.03
1104,5.83
1105,5.61
1106,5.38
1107,5.71
1108,5.68
1109,5.08
1110,5.38
1111,5.58
1112,5.17
1113,6.58
1114,5.2
1115,5.49
1116,6.45
1117,6.4
1118,5.56
1119,5.59
1120,5.29
1121,6.17
1122,7.17
1123,6.39
1124,5.96
1125,5.92
1126,5.55
1127,5.55
1128,6.43
1129,6.55
1130,5.29
1131,5.74
1132,5.42
1133,6.38
1134,6.12
1135,5.7
1136,5.31
1137,5.73
1138,6.57
1139,5.87
1140,5.95
1141,6.43
1142,6.13
1143,6.57
1144,6.47
1145,5.89
1146,5.99
1147,5.06
1148,5.56
1149,5.89
1150,6.21
1151,5.08
1152,5.29
1153,5.63
1154,6.55
1155,5.2
1156,6.48
1157,5.38
1158,5.83
1159,5.02
1160,5.04
1161,5.48
1162,5.72
1163,5.15
1164,6.47
1165,5.07
1166,5.07
1167,5.21
1168,6.24
1169,6.32
1170,5.89
1171,5.56
1172,5.78
1173,5.62
1174,6.25
1175,5.87
1176,6.49
1177,5.51
1178,6.25
1179,5.19
1180,5.77
1181,5.43
1182,6.15
1183,6.49
1184,6.71
1185,5.12
1186,5.09
1187,5.97
1188,5.65
1189,6.8
1190,6.2
1191,5.35
1192,7.11
1193,6.2
1194,6.23
1195,5.25
1196,5.92
1197,5.72
1198,6.83
1199,5.19
1200,6.49
1201,5.45
1202,6.47
1203,6.24
1204,5.89
1205,4.64
1206,6.07
1207,5.14
1208,5.56
1209,5.17
1210,6.06
1211,5.21
1212,6.05
1213,6.36
1214,6.36
1215,6.06
1216,5.92
1217,5.24
1218,6.36
1219,5.49
1220,5.9
1221,5.27
1222,5.77
1223,5.43
1224,5.41
1225,5.46
1226,5.07
1227,6.05
1228,5.14
1229,5.14
1230,5.51
1231,5.52
1232,5.72
1233,4.81
1234,5.32
1235,5.38
1236,6.6
1237,5.42
1238,5.32
1239,5.53
1240,6.01
1241,5.48
1242,5.42
1243,5.83
1244,5.2
1245,5.2
1246,5.76
1247,4.82
1248,5.61
1249,6.18
1250,5.89
1251,5.02
1252,5.14
1253,5.11
1254,5.22
1255,5.7
1256,5.39
1257,6.19
1258,5.39
1259,5.64
1260,5.03
1261,5.38
1262,5.36
1263,5.58
1264,5.13
1265,5.83
1266,5.64
1267,5.47
1268,5.83
1269,5.1
1270,4.71
1271,5.56
1272,5.12
1273,5.43
1274,5.33
1275,5.23
1276,5.96
1277,6.01
1278,5.03
1279,4.99
1280,5.06
1281,5.12
1282,5.31
1283,5.09
1284,5.15
1285,5.68
1286,5.12
1287,5.15
1288,5.22
1289,5.13
1290,5.18
1291,5.82
1292,5.21
1293,5.33
1294,5.23
1295,6.28
1296,5.33
1297,5.27
1298,5.36
1299,5.4
1300,4.95
1301,5.57
1302,6.27
1303,5.66
1304,6.08
1305,5.16
1306,5.63
1307,6.42
1308,5.09
1309,5.18
1310,5.18
1311,5.43
1312,5.19
1313,5.03
1314,6.1
1315,6.13
1316,5.0
1317,5.87
1318,5.04
1319,6.02
1320,5.97
1321,5.88
1322,5.31
1323,6.62
1324,5.69
1325,5.95
1326,6.45
1327,5.73
1328,5.84
1329,5.04
1330,5.86
1331,4.85
1332,6.32
1333,6.54
1334,5.25
1335,5.79
1336,5.79
1337,6.13
1338,5.79
1339,5.07
1340,5.67
1341,6.18
1342,5.98
1343,5.43
1344,5.21
1345,6.13
1346,5.76
1347,5.76
1348,6.13
1349,6.07
1350,5.8
1351,6.64
1352,6.33
1353,6.58
1354,6.38
1355,6.74
1356,5.65
1357,5.74
1358,5.41
1359,5.19
1360,5.41
1361,6.27
1362,5.18
1363,5.77
1364,6.14
1365,6.58
1366,5.12
1367,5.27
1368,6.43
1369,5.97
1370,5.92
1371,5.63
1372,6.15
1373,5.24
1374,5.33
1375,5.33
1376,5.36
1377,5.18
1378,5.36
1379,5.05
1380,6.09
1381,6.62
1382,5.86
1383,6.98
1384,6.28
1385,5.64
1386,5.75
1387,5.04
1388,6.42
1389,6.83
1390,6.07
1391,5.68
1392,6.2
1393,5.38
1394,6.53
1395,6.32
1396,5.45
1397,5.62
1398,5.9
1399,5.96
1400,5.42
1401,5.63
1402,5.85
1403,5.19
1404,5.91
1405,6.8
1406,5.71
1407,6.6
1408,6.35
1409,6.6
1410,5.61
1411,6.21
1412,6.28
1413,6.75
1414,5.89
1415,5.56
1416,5.71
1417,5.52
1418,5.47
1419,6.33
1420,5.81
1421,5.13
1422,6.4
1423,6.52
1424,6.53
1425,4.94
1426,5.3
1427,6.75
1428,5.08
1429,6.34
1430,4.87
1431,6.03
1432,5.96
1433,5.93
1434,5.54
1435,5.81
1436,5.76
1437,6.1
1438,6.32
1439,6.32
1440,5.18
1441,5.5
1442,6.04
1443,5.92
1444,5.89
1445,6.38
1446,5.06
1447,5.86
1448,6.24
1449,5.94
1450,5.55
1451,6.41
1452,5.91
1453,5.86
1454,6.49
1455,6.06
1456,5.07
