id,quality
1001,5.39
1002,5.26
1003,5.35
1004,3.99
1005,5.08
1006,5.06
1007,4.93
1008,5.59
1009,5.48
1010,4.93
1011,5.4
1012,5.55
1013,4.69
1014,5.18
1015,5.12
1016,4.83
1017,5.88
1018,4.78
1019,5.3
1020,5.43
1021,4.88
1022,5.6
1023,5.58
1024,4.55
1025,5.09
1026,4.21
1027,4.69
1028,4.83
1029,5.74
1030,5.08
1031,5.36
1032,5.25
1033,4.91
1034,4.79
1035,5.56
1036,5.59
1037,5.38
1038,5.31
1039,5.17
1040,5.15
1041,4.15
1042,5.85
1043,4.54
1044,4.53
1045,4.5
1046,5.33
1047,6.63
1048,6.63
1049,4.75
1050,5.6
1051,5.08
1052,5.04
1053,7.54
1054,7.54
1055,5.03
1056,5.48
1057,5.49
1058,5.53
1059,5.53
1060,5.06
1061,5.18
1062,5.6
1063,5.27
1064,5.27
1065,4.88
1066,5.86
1067,5.73
1068,5.17
1069,5.44
1070,5.06
1071,5.01
1072,5.14
1073,4.92
1074,5.26
1075,5.54
1076,6.96
1077,5.95
1078,6.71
1079,5.52
1080,5.06
1081,5.32
1082,5.21
1083,5.21
1084,4.07
1085,5.17
1086,5.63
1087,5.05
1088,6.67
1089,5.08
1090,5.65
1091,6.34
1092,5.61
1093,5.68
1094,5.96
1095,7.14
1096,6.64
1097,5.07
1098,5.79
1099,5.98
1100,4.81
1101,5.98
1102,5.98
1103,5.02
1104,5.75
1105,5.68
1106,5.53
1107,6.02
1108,4.63
1109,4.62
1110,5.78
1111,5.79
1112,4.99
1113,6.54
1114,5.04
1115,5.36
1116,6.42
1117,6.39
1118,6.02
1119,5.58
1120,4.99
1121,6.53
1122,7.21
1123,6.11
1124,6.35
1125,6.26
1126,5.57
1127,5.57
1128,6.39
1129,6.49
1130,4.6
1131,5.32
1132,5.14
1133,5.93
1134,6.24
1135,5.84
1136,5.55
1137,6.75
1138,7.12
1139,5.9
1140,6.21
1141,6.44
1142,6.21
1143,7.12
1144,6.87
1145,6.11
1146,6.03
1147,4.99
1148,5.67
1149,6.15
1150,6.71
1151,5.13
1152,4.78
1153,6.41
1154,6.71
1155,5.02
1156,6.45
1157,4.82
1158,5.93
1159,4.92
1160,5.36
1161,4.72
1162,5.73
1163,5.35
1164,6.88
1165,4.78
1166,4.78
1167,5.22
1168,6.53
1169,6.94
1170,6.1
1171,5.56
1172,5.95
1173,5.54
1174,6.34
1175,6.12
1176,6.45
1177,4.67
1178,6.34
1179,5.47
1180,5.99
1181,5.8
1182,7.17
1183,6.97
1184,7.35
1185,4.91
1186,4.96
1187,6.05
1188,4.9
1189,7.22
1190,6.12
1191,6.31
1192,7.84
1193,6.58
1194,6.5
1195,5.18
1196,5.78
1197,5.39
1198,6.91
1199,5.2
1200,6.26
1201,4.99
1202,6.82
1203,5.39
1204,6.06
1205,4.93
1206,6.92
1207,5.02
1208,4.93
1209,4.79
1210,6.4
1211,5.15
1212,6.23
1213,5.54
1214,5.54
1215,6.12
1216,5.16
1217,5.05
1218,6.07
1219,5.33
1220,6.06
1221,3.22
1222,5.92
1223,5.27
1224,5.07
1225,5.28
1226,5.0
1227,6.47
1228,5.21
1229,5.21
1230,5.07
1231,5.2
1232,5.11
1233,4.41
1234,5.51
1235,5.19
1236,7.05
1237,5.24
1238,5.43
1239,5.67
1240,7.25
1241,5.53
1242,5.59
1243,6.28
1244,5.1
1245,5.1
1246,5.05
1247,4.16
1248,5.18
1249,6.81
1250,6.15
1251,4.86
1252,5.06
1253,4.98
1254,4.92
1255,5.69
1256,5.39
1257,6.53
1258,5.12
1259,5.53
1260,4.32
1261,5.15
1262,5.21
1263,5.44
1264,5.13
1265,5.8
1266,4.03
1267,5.22
1268,5.29
1269,5.1
1270,4.43
1271,5.16
1272,5.09
1273,5.31
1274,5.3
1275,5.36
1276,5.96
1277,5.98
1278,5.0
1279,5.19
1280,4.85
1281,5.08
1282,4.67
1283,5.07
1284,5.21
1285,5.68
1286,4.78
1287,5.14
1288,3.34
1289,4.66
1290,4.97
1291,5.69
1292,5.1
1293,5.54
1294,5.11
1295,6.38
1296,5.01
1297,5.22
1298,5.5
1299,5.41
1300,4.99
1301,5.08
1302,7.51
1303,5.25
1304,5.96
1305,4.53
1306,6.96
1307,6.87
1308,5.12
1309,5.04
1310,5.04
1311,5.03
1312,4.8
1313,5.08
1314,5.99
1315,6.81
1316,4.99
1317,5.61
1318,4.99
1319,6.81
1320,5.89
1321,5.84
1322,5.41
1323,6.43
1324,5.55
1325,6.76
1326,6.91
1327,5.51
1328,5.88
1329,5.09
1330,6.02
1331,4.23
1332,6.76
1333,6.77
1334,4.97
1335,5.77
1336,5.65
1337,6.13
1338,5.55
1339,5.21
1340,5.8
1341,6.34
1342,6.08
1343,6.03
1344,5.19
1345,5.33
1346,5.69
1347,5.69
1348,5.33
1349,6.22
1350,5.16
1351,7.28
1352,6.21
1353,7.0
1354,6.36
1355,6.9
1356,6.07
1357,5.44
1358,6.16
1359,5.17
1360,6.16
1361,6.64
1362,5.07
1363,4.98
1364,6.09
1365,6.28
1366,5.13
1367,5.19
1368,7.69
1369,6.04
1370,5.34
1371,4.9
1372,6.14
1373,5.5
1374,5.17
1375,5.17
1376,5.6
1377,5.23
1378,5.6
1379,4.99
1380,6.43
1381,7.08
1382,6.2
1383,7.0
1384,6.7
1385,5.59
1386,5.6
1387,4.83
1388,6.95
1389,7.56
1390,6.21
1391,5.55
1392,5.88
1393,5.01
1394,6.65
1395,6.29
1396,5.93
1397,5.69
1398,5.8
1399,6.46
1400,3.36
1401,5.92
1402,6.07
1403,5.36
1404,5.92
1405,7.05
1406,5.69
1407,5.01
1408,6.91
1409,5.01
1410,6.17
1411,6.43
1412,7.65
1413,7.1
1414,5.32
1415,5.45
1416,4.72
1417,5.01
1418,5.98
1419,6.33
1420,5.78
1421,5.2
1422,6.58
1423,6.65
1424,6.81
1425,5.78
1426,5.33
1427,6.24
1428,5.08
1429,6.47
1430,4.06
1431,6.2
1432,5.92
1433,5.62
1434,5.93
1435,5.7
1436,6.07
1437,6.27
1438,6.69
1439,6.69
1440,5.0
1441,5.3
1442,6.03
1443,5.95
1444,6.11
1445,6.42
1446,4.94
1447,5.37
1448,7.18
1449,6.43
1450,5.52
1451,7.37
1452,5.65
1453,6.61
1454,7.42
1455,5.88
1456,4.83
1457,6.2
1458,5.57
1459,5.07
1460,6.0
1461,5.99
1462,5.27
1463,4.66
1464,6.64
1465,5.38
1466,5.38
1467,5.09
1468,5.09
1469,5.69
1470,7.0
1471,7.0
1472,6.36
1473,5.3
1474,6.5
1475,5.26
1476,7.02
1477,6.47
1478,6.24
1479,6.24
1480,4.49
1481,5.62
1482,6.03
1483,5.12
1484,5.6
1485,5.19
1486,4.5
1487,4.78
1488,5.82
1489,5.4
1490,6.94
1491,7.73
1492,5.66
1493,5.86
1494,5.44
1495,5.35
1496,5.35
1497,5.09
1498,5.64
1499,5.02
1500,6.09
1501,4.62
1502,5.74
1503,5.65
1504,5.4
1505,5.37
1506,6.03
1507,5.23
1508,5.23
1509,4.79
1510,4.7
1511,6.0
1512,4.58
1513,4.58
1514,5.29
1515,5.18
1516,6.03
1517,5.03
1518,5.43
1519,5.46
1520,5.2
1521,6.25
1522,4.91
1523,5.32
1524,6.15
1525,6.06
1526,4.41
1527,5.06
1528,5.42
1529,5.59
1530,5.01
1531,6.21
1532,5.81
1533,5.17
1534,5.35
1535,6.61
1536,5.98
1537,5.83
1538,5.93
1539,5.08
1540,5.08
1541,3.94
1542,5.79
1543,4.81
1544,4.79
1545,6.87
1546,6.36
1547,5.0
1548,5.02
1549,5.44
1550,5.44
1551,4.88
1552,5.21
1553,5.61
1554,5.25
1555,5.05
1556,4.86
1557,5.82
1558,5.2
1559,5.73
1560,5.73
1561,5.77
1562,5.77
1563,5.98
1564,6.43
1565,4.53
1566,5.56
1567,5.53
1568,4.82
1569,5.88
1570,6.64
1571,5.83
1572,5.66
1573,6.13
1574,4.84
1575,5.53
1576,4.48
1577,4.69
1578,4.99
1579,4.85
1580,5.78
1581,5.65
1582,5.02
1583,5.02
1584,5.02
1585,5.38
1586,6.24
1587,5.26
1588,5.96
1589,6.11
1590,5.06
1591,5.62
1592,5.07
1593,6.21
1594,5.41
1595,6.98
1596,5.53
1597,6.17
1598,5.67
1599,6.22
