id,quality
1001,5.56
1002,5.08
1003,5.45
1004,5.45
1005,4.98
1006,5.14
1007,5.25
1008,5.45
1009,5.57
1010,5.06
1011,5.57
1012,5.11
1013,4.49
1014,5.11
1015,5.55
1016,5.05
1017,5.87
1018,4.96
1019,5.53
1020,5.41
1021,5.28
1022,5.72
1023,5.58
1024,5.47
1025,5.08
1026,5.08
1027,5.14
1028,4.91
1029,5.72
1030,5.19
1031,5.18
1032,5.23
1033,4.69
1034,5.51
1035,5.58
1036,5.59
1037,5.35
1038,5.2
1039,5.07
1040,5.03
1041,4.92
1042,5.76
1043,4.85
1044,3.8
1045,3.79
1046,5.65
1047,6.21
1048,6.21
1049,4.61
1050,5.51
1051,5.12
1052,5.06
1053,7.21
1054,7.21
1055,5.06
1056,5.08
1057,5.39
1058,5.33
1059,5.33
1060,5.02
1061,5.42
1062,5.44
1063,5.27
1064,5.19
1065,5.26
1066,5.9
1067,5.71
1068,5.09
1069,5.62
1070,5.2
1071,5.26
1072,5.06
1073,5.09
1074,5.14
1075,5.28
1076,6.81
1077,5.88
1078,6.78
1079,5.8
1080,5.3
1081,5.25
1082,5.24
1083,5.42
1084,5.35
1085,5.08
1086,5.47
1087,5.52
1088,6.58
1089,5.1
1090,5.8
1091,6.04
1092,5.65
1093,5.56
1094,5.89
1095,6.86
1096,6.53
1097,5.0
1098,5.8
1099,5.89
1100,4.96
1101,5.89
1102,5.97
1103,4.95
1104,5.84
1105,5.73
1106,5.53
1107,5.92
1108,5.73
1109,5.03
1110,5.64
1111,5.82
1112,5.19
1113,6.62
1114,5.1
1115,5.68
1116,6.25
1117,6.15
1118,6.06
1119,5.73
1120,5.08
1121,6.44
1122,7.09
1123,5.94
1124,6.23
1125,6.02
1126,5.69
1127,5.69
1128,6.63
1129,6.51
1130,5.43
1131,5.62
1132,5.57
1133,6.8
1134,6.0
1135,5.71
1136,4.98
1137,6.55
1138,6.71
1139,5.82
1140,6.14
1141,6.55
1142,5.95
1143,6.71
1144,6.53
1145,6.13
1146,5.99
1147,5.05
1148,5.49
1149,5.91
1150,6.92
1151,5.13
1152,5.1
1153,5.88
1154,6.54
1155,5.09
1156,6.49
1157,5.08
1158,6.01
1159,4.87
1160,5.22
1161,5.42
1162,5.58
1163,5.1
1164,6.33
1165,4.99
1166,4.99
1167,5.34
1168,6.28
1169,6.3
1170,5.92
1171,5.6
1172,5.95
1173,5.55
1174,6.22
1175,5.79
1176,7.01
1177,5.6
1178,6.22
1179,4.74
1180,5.77
1181,5.69
1182,6.15
1183,6.73
1184,6.71
1185,5.09
1186,5.12
1187,5.95
1188,5.83
1189,6.98
1190,6.09
1191,5.46
1192,7.27
1193,6.6
1194,6.41
1195,5.36
1196,5.92
1197,5.57
1198,6.77
1199,5.01
1200,6.53
1201,5.57
1202,6.34
1203,5.23
1204,5.99
1205,5.15
1206,6.31
1207,5.05
1208,5.43
1209,5.24
1210,6.01
1211,5.16
1212,6.1
1213,5.49
1214,5.49
1215,5.93
1216,5.12
1217,5.09
1218,6.17
1219,5.81
