id,quality
1001,5.33
1002,5.94
1003,5.71
1004,5.75
1005,6.0
1006,5.77
1007,6.98
1008,5.4
1009,5.86
1010,5.97
1011,6.1
1012,6.95
1013,5.67
1014,5.54
1015,5.78
1016,5.86
1017,5.08
1018,5.66
1019,5.35
1020,5.62
1021,5.69
1022,5.87
1023,5.76
1024,5.86
1025,5.94
1026,6.25
1027,5.81
1028,5.4
1029,5.87
1030,5.61
1031,5.77
1032,5.86
1033,5.57
1034,6.83
1035,5.86
1036,5.89
1037,5.92
1038,5.37
1039,5.55
1040,5.54
1041,5.43
1042,5.82
1043,6.2
1044,5.8
1045,5.86
1046,5.79
1047,5.24
1048,5.24
1049,5.9
1050,5.83
1051,5.79
1052,5.88
1053,5.16
1054,5.16
1055,5.43
1056,5.57
1057,5.68
1058,5.65
1059,5.65
1060,5.6
1061,5.68
1062,5.63
1063,5.82
1064,5.62
1065,5.73
1066,5.47
1067,5.26
1068,6.11
1069,5.66
1070,5.69
1071,5.82
1072,5.65
1073,6.53
1074,5.98
1075,5.54
1076,5.25
1077,5.31
1078,4.76
1079,5.2
1080,5.94
1081,5.92
1082,5.69
1083,6.12
1084,5.67
1085,5.79
1086,5.6
1087,5.84
1088,5.12
1089,6.04
1090,5.68
1091,5.29
1092,6.18
1093,5.97
1094,5.62
1095,5.6
1096,5.65
1097,6.75
1098,5.66
1099,5.79
1100,5.74
1101,5.79
1102,5.27
1103,5.55
1104,5.71
1105,5.68
1106,5.74
1107,5.24
1108,5.71
1109,5.94
1110,5.58
1111,5.86
1112,6.13
1113,5.77
1114,6.03
1115,5.92
1116,5.7
1117,5.73
1118,5.07
1119,5.58
1120,6.29
1121,5.2
1122,5.04
1123,5.47
1124,5.24
1125,5.16
1126,5.53
1127,5.53
1128,5.15
1129,5.49
1130,5.53
1131,5.64
1132,6.01
1133,5.34
1134,5.06
1135,5.56
1136,5.26
1137,5.42
1138,5.13
1139,5.46
1140,5.27
1141,5.56
1142,5.35
1143,5.13
1144,5.49
1145,5.31
1146,5.73
1147,5.77
1148,5.6
1149,5.63
1150,5.02
1151,5.24
1152,6.53
1153,5.46
1154,5.76
1155,5.2
1156,5.63
1157,6.03
1158,5.38
1159,6.08
1160,5.23
1161,5.49
1162,5.78
1163,5.77
1164,5.22
1165,5.33
1166,5.33
1167,6.08
1168,5.52
1169,4.83
1170,4.39
1171,5.93
1172,5.46
1173,5.49
1174,5.13
1175,5.54
1176,5.51
1177,5.65
1178,5.13
1179,5.39
1180,5.36
1181,5.18
1182,5.28
1183,5.38
1184,5.31
1185,6.03
1186,5.63
1187,4.48
1188,5.72
1189,4.79
1190,5.55
1191,6.03
1192,5.12
1193,5.6
1194,5.39
1195,5.14
1196,5.42
1197,5.24
1198,5.22
1199,5.6
1200,5.81
1201,5.43
1202,5.17
1203,5.48
1204,5.33
1205,5.42
1206,5.34
1207,5.94
1208,5.99
1209,5.78
1210,4.18
1211,5.83
1212,6.05
1213,5.78
1214,5.78
1215,5.73
1216,5.17
1217,5.36
1218,5.77
1219,5.73
1220,5.16
1221,5.15
1222,5.72
1223,6.29
1224,5.49
1225,5.49
1226,5.3
1227,5.31
1228,5.28
1229,5.28
1230,5.69
1231,5.23
1232,5.11
1233,6.11
1234,5.07
1235,5.8
1236,5.76
1237,5.6
1238,4.35
1239,5.26
1240,5.23
1241,5.94
1242,5.98
1243,5.62
1244,5.37
1245,5.37
1246,5.34
1247,7.49
1248,5.77
1249,5.32
1250,5.28
1251,5.52
1252,5.84
1253,5.89
1254,5.72
1255,5.32
1256,5.38
1257,5.2
1258,5.48
1259,5.54
1260,5.75
1261,5.54
1262,5.37
1263,5.63
1264,5.56
1265,5.65
1266,6.65
1267,6.37
1268,5.83
1269,5.87
1270,6.04
1271,5.57
1272,5.61
1273,5.74
1274,5.71
1275,5.88
1276,5.93
1277,5.92
1278,6.42
1279,5.59
1280,5.9
1281,5.26
1282,5.62
1283,5.93
1284,5.46
1285,5.79
1286,6.05
1287,5.95
1288,5.68
1289,5.6
1290,5.75
1291,5.48
1292,5.78
1293,5.9
1294,6.09
1295,5.25
1296,5.75
1297,5.84
1298,5.85
1299,5.85
1300,5.82
1301,6.22
1302,5.21
1303,5.74
1304,5.65
1305,6.03
1306,5.17
1307,5.5
1308,5.71
1309,5.77
1310,5.77
1311,5.92
1312,5.64
1313,5.55
1314,5.51
1315,5.27
1316,5.96
1317,4.53
1318,5.95
1319,5.17
1320,5.46
1321,5.95
1322,5.93
1323,5.25
1324,6.34
1325,5.91
1326,5.27
1327,5.82
1328,6.1
1329,5.84
1330,6.06
1331,6.77
1332,5.31
1333,6.06
1334,5.92
1335,5.74
1336,5.98
1337,5.27
1338,5.64
1339,5.51
1340,5.97
1341,5.03
1342,5.87
1343,5.49
1344,5.58
1345,6.07
1346,5.98
1347,5.98
1348,6.07
1349,5.18
1350,5.33
1351,4.86
1352,5.67
1353,5.19
1354,5.53
1355,5.25
1356,5.29
1357,5.34
1358,5.79
1359,6.11
1360,5.79
1361,5.66
1362,5.77
1363,6.43
1364,5.23
1365,5.66
1366,5.95
1367,5.65
1368,5.25
1369,6.15
1370,5.23
1371,5.38
1372,5.33
1373,5.75
1374,5.52
1375,5.52
1376,5.95
1377,5.8
1378,5.95
1379,5.36
1380,5.42
1381,5.27
1382,5.65
1383,5.2
1384,5.18
1385,6.07
1386,5.94
1387,5.75
1388,5.05
1389,5.09
1390,4.16
1391,5.69
1392,5.34
1393,5.82
1394,5.82
1395,5.34
1396,5.22
1397,5.71
1398,5.97
1399,5.95
1400,6.11
1401,5.75
1402,5.71
1403,5.55
1404,5.82
1405,5.33
1406,5.67
1407,5.94
1408,4.78
1409,5.94
1410,5.31
1411,5.1
1412,5.28
1413,5.21
1414,6.02
1415,5.81
1416,5.97
1417,6.03
1418,5.54
1419,5.36
1420,5.95
1421,5.62
1422,5.59
1423,5.41
1424,5.27
1425,7.57
1426,5.5
1427,5.4
1428,5.65
1429,5.54
1430,6.93
1431,5.16
1432,5.46
1433,5.37
1434,5.17
1435,5.95
1436,6.3
1437,5.09
1438,5.08
1439,5.08
1440,6.1
1441,5.77
1442,5.72
1443,5.61
1444,5.57
1445,5.18
1446,5.92
1447,5.3
1448,4.35
1449,5.47
1450,5.85
1451,5.23
1452,5.33
1453,5.68
1454,4.9
1455,5.28
1456,6.85
1457,5.34
1458,5.23
1459,5.54
1460,5.25
1461,6.41
1462,5.76
1463,5.7
1464,5.82
1465,5.85
1466,5.85
1467,5.7
1468,5.7
1469,5.57
1470,5.39
1471,5.39
1472,5.18
1473,5.6
1474,4.83
1475,5.71
1476,5.44
1477,5.91
1478,4.49
1479,4.49
1480,6.25
1481,5.81
1482,5.32
1483,5.64
1484,5.92
1485,5.78
1486,5.74
1487,5.78
1488,5.35
1489,5.6
1490,5.07
1491,5.03
1492,5.65
1493,5.96
1494,5.42
1495,6.06
1496,6.06
1497,6.83
1498,5.16
1499,5.68
1500,5.58
1501,6.06
1502,6.02
1503,5.7
1504,5.46
1505,5.88
1506,5.06
1507,5.71
1508,5.71
1509,6.32
1510,5.47
1511,5.71
1512,5.8
1513,5.8
1514,5.93
1515,6.33
1516,5.67
1517,5.59
1518,5.66
1519,5.68
1520,5.46
1521,5.82
1522,6.37
1523,5.7
1524,5.16
1525,6.06
1526,5.81
1527,6.25
1528,5.6
1529,5.95
1530,5.91
1531,5.76
1532,5.3
1533,5.14
1534,5.52
1535,5.1
1536,5.56
1537,5.91
1538,5.58
1539,5.47
1540,5.47
1541,6.84
