id,quality
1001,5.77
1002,5.36
1003,5.07
1004,5.31
1005,5.2
1006,5.21
1007,5.24
1008,5.75
1009,5.28
1010,5.02
1011,5.41
1012,5.25
1013,4.19
1014,5.1
1015,5.63
1016,4.87
1017,6.07
1018,5.02
1019,5.53
1020,5.83
1021,5.47
1022,5.57
1023,5.53
1024,5.78
1025,5.59
1026,5.03
1027,5.21
1028,5.14
1029,5.72
1030,5.35
1031,5.06
1032,5.19
1033,5.0
1034,5.49
1035,5.34
1036,5.38
1037,5.29
1038,5.27
1039,5.1
1040,5.02
1041,4.8
1042,5.77
1043,4.95
1044,4.06
1045,4.05
1046,5.54
1047,6.19
1048,6.19
1049,4.64
1050,5.39
1051,5.02
1052,5.14
1053,7.14
1054,7.14
1055,5.03
1056,5.25
1057,5.55
1058,5.07
1059,5.07
1060,5.07
1061,5.29
1062,5.78
1063,5.22
1064,5.28
1065,5.22
1066,5.79
1067,5.77
1068,5.02
1069,5.41
1070,5.18
1071,5.27
1072,5.06
1073,5.1
1074,5.1
1075,5.47
1076,6.6
1077,6.14
1078,6.48
1079,5.61
1080,5.31
1081,5.4
1082,5.11
1083,5.33
1084,5.41
1085,5.15
1086,5.39
1087,5.54
1088,6.66
1089,5.25
1090,5.94
1091,6.1
1092,5.4
1093,5.54
1094,5.9
1095,6.35
1096,6.34
1097,5.08
1098,5.42
1099,5.87
1100,5.24
1101,5.87
1102,5.79
1103,5.36
1104,5.41
1105,5.08
1106,5.11
1107,6.19
1108,5.53
1109,5.19
1110,5.76
1111,5.81
1112,5.16
1113,6.61
1114,5.08
1115,5.21
1116,6.39
1117,6.37
1118,5.6
1119,5.64
1120,5.04
1121,5.81
1122,6.71
1123,5.82
1124,6.19
1125,5.97
1126,5.31
1127,5.31
1128,6.19
1129,6.66
1130,5.73
1131,5.61
1132,5.37
1133,6.13
1134,6.22
1135,5.92
1136,5.3
1137,6.44
1138,6.9
1139,5.79
1140,6.31
1141,6.55
1142,6.24
1143,6.9
1144,6.03
1145,5.95
1146,5.97
1147,5.43
1148,5.54
1149,5.95
1150,6.44
1151,5.16
1152,5.06
1153,5.8
1154,6.02
1155,5.13
1156,6.0
1157,5.35
1158,5.71
1159,5.14
1160,5.77
1161,5.1
1162,5.6
1163,5.23
1164,6.46
1165,5.38
1166,5.38
1167,5.32
1168,5.95
1169,6.38
1170,5.74
1171,5.46
1172,5.9
1173,5.68
1174,6.04
1175,6.0
1176,5.82
1177,5.39
1178,6.04
1179,5.05
1180,5.9
1181,5.43
1182,5.9
1183,6.63
1184,6.87
1185,5.01
1186,5.09
1187,5.82
1188,5.6
1189,6.82
1190,5.66
1191,5.72
1192,7.28
1193,6.68
1194,6.57
1195,5.46
1196,5.84
1197,5.51
1198,6.68
1199,5.3
1200,6.02
1201,5.64
1202,6.63
1203,5.34
1204,6.16
1205,5.48
1206,6.67
1207,5.13
1208,5.52
1209,5.25
1210,5.91
1211,5.31
1212,5.74
1213,5.3
1214,5.3
1215,5.85
1216,5.12
1217,5.16
1218,6.13
1219,5.7
1220,5.93
1221,5.41
1222,5.64
1223,5.44
1224,5.15
1225,5.12
1226,5.15
1227,6.28
1228,5.29
1229,5.29
1230,5.2
1231,5.25
1232,5.41
1233,5.05
1234,5.74
1235,5.15
1236,6.56
1237,5.29
1238,5.69
1239,5.7
1240,6.37
1241,5.54
1242,5.16
1243,6.01
1244,5.21
1245,5.21
1246,4.97
1247,5.2
1248,5.17
1249,6.69
1250,5.58
1251,5.13
1252,4.91
1253,4.94
1254,4.95
1255,5.65
1256,5.01
1257,5.65
1258,5.07
1259,5.45
1260,5.15
1261,4.99
1262,5.21
1263,5.38
1264,5.12
1265,5.5
1266,4.3
1267,5.55
1268,5.7
1269,5.14
1270,4.89
1271,5.37
1272,5.06
1273,5.3
1274,5.03
1275,5.25
1276,5.85
1277,5.89
1278,5.11
1279,5.29
1280,4.97
1281,5.15
1282,5.08
1283,5.22
1284,5.15
1285,5.65
1286,5.05
1287,5.06
1288,5.15
1289,5.14
1290,5.14
1291,5.74
1292,5.1
1293,5.06
1294,5.73
1295,6.49
1296,5.35
1297,5.33
1298,5.48
1299,5.35
1300,5.14
1301,5.35
1302,7.01
1303,5.15
1304,6.38
1305,5.48
1306,6.6
1307,6.7
1308,5.29
1309,5.13
1310,5.13
1311,5.64
1312,5.36
1313,5.11
1314,5.96
1315,6.21
1316,5.06
1317,6.02
1318,5.06
1319,6.09
1320,6.02
1321,5.88
1322,5.38
1323,6.32
1324,5.65
1325,6.34
1326,6.39
1327,5.5
1328,5.75
1329,5.16
1330,5.84
1331,4.55
1332,6.62
1333,6.44
1334,5.03
1335,5.86
1336,5.48
1337,6.08
1338,6.08
1339,5.41
1340,5.78
1341,6.23
1342,6.0
1343,5.76
1344,5.39
1345,5.67
1346,5.69
1347,5.69
1348,5.67
1349,6.05
1350,5.35
1351,6.74
1352,6.27
1353,6.87
1354,6.34
1355,6.72
1356,6.03
1357,5.79
1358,5.99
1359,5.29
1360,5.99
1361,6.22
1362,5.04
1363,5.54
1364,6.17
1365,5.67
1366,5.15
1367,5.12
1368,6.71
1369,5.8
1370,5.35
1371,5.64
1372,5.98
1373,5.31
1374,5.38
1375,5.38
1376,5.53
1377,5.23
1378,5.53
1379,5.17
1380,6.54
1381,6.26
1382,6.07
1383,6.97
1384,6.67
1385,5.89
1386,5.91
1387,4.75
1388,6.64
1389,6.8
1390,6.09
1391,5.83
1392,6.03
1393,5.25
1394,6.6
1395,6.1
1396,5.8
1397,5.94
1398,5.61
1399,5.93
1400,4.69
1401,5.69
1402,5.91
1403,5.4
1404,5.92
1405,7.21
1406,5.63
1407,6.15
1408,6.23
1409,6.15
1410,5.98
1411,6.09
1412,6.53
1413,6.84
1414,5.76
1415,5.46
1416,5.82
1417,5.05
1418,6.15
1419,6.2
1420,5.75
1421,5.28
1422,5.85
1423,6.57
1424,6.92
1425,6.02
1426,5.14
1427,6.75
1428,5.1
1429,6.67
1430,5.25
1431,6.09
1432,5.95
1433,6.09
1434,6.03
1435,5.87
1436,6.27
1437,6.17
1438,6.11
1439,6.11
1440,5.07
1441,5.46
1442,5.8
1443,6.02
1444,5.81
1445,6.11
1446,5.1
1447,5.57
1448,5.99
1449,6.03
1450,5.23
1451,6.46
1452,5.69
1453,6.09
1454,6.43
1455,5.68
1456,5.33
1457,6.14
1458,5.96
1459,5.17
1460,5.92
1461,5.91
1462,5.11
1463,4.81
1464,6.1
1465,4.01
1466,4.3
1467,5.08
1468,5.08
1469,5.68
1470,6.86
1471,6.86
1472,6.63
1473,5.31
1474,6.09
1475,5.45
1476,6.48
1477,5.67
1478,6.37
1479,6.37
1480,5.53
1481,5.72
1482,5.86
1483,5.33
1484,5.24
1485,5.27
1486,4.85
1487,5.05
1488,5.79
1489,5.65
1490,6.73
1491,7.06
1492,5.8
1493,5.92
1494,5.89
1495,5.34
1496,5.34
1497,5.03
1498,6.08
1499,5.23
1500,6.01
1501,4.32
1502,5.77
1503,5.62
1504,4.93
1505,5.22
1506,6.12
1507,5.41
1508,5.41
1509,5.13
1510,5.6
1511,6.0
1512,5.04
1513,5.04
1514,5.19
1515,5.18
1516,5.82
1517,5.22
1518,6.0
1519,5.14
1520,4.93
1521,6.54
1522,5.1
1523,5.14
1524,6.02
1525,5.81
1526,4.58
1527,5.14
1528,5.21
1529,5.2
1530,5.03
1531,6.37
1532,5.64
1533,5.19
1534,5.2
1535,5.94
1536,5.76
1537,5.94
1538,5.73
1539,5.12
1540,5.12
1541,5.52
1542,5.73
1543,5.03
1544,5.03
1545,6.79
1546,6.43
1547,5.07
1548,5.16
1549,5.24
1550,5.24
1551,5.41
1552,5.87
1553,5.77
1554,5.2
1555,5.68
1556,5.24
1557,5.97
1558,5.01
1559,5.61
1560,5.61
1561,5.71
1562,5.71
1563,5.89
1564,6.78
1565,5.67
1566,5.8
1567,5.67
1568,5.7
1569,5.8
1570,6.1
1571,5.63
1572,5.84
1573,6.13
1574,5.25
1575,5.65
1576,5.56
1577,5.05
1578,5.2
1579,5.55
1580,5.83
1581,5.75
1582,5.01
1583,5.01
1584,5.05
1585,5.94
1586,6.04
1587,5.29
1588,5.96
1589,6.53
1590,5.02
1591,5.51
1592,5.97
1593,6.44
1594,5.77
1595,6.06
1596,5.25
1597,5.68
1598,5.36
1599,5.95
